playerID,SUM(b.H),SUM(b.HR),SUM(b.RBI),SUM(P.SO),AVG(P.ERA),inducted
schmija01,1008,112,336,28128,4.482500031590462,N
wagnebi02,68,0,34,40664,2.1929411747876335,N
gagneer01,132,11,33,7898,3.1281818476590244,N
stephjo03,0,0,0,56,6.090000152587891,N
cirilje01,1598,112,727,15,0,N
martiti02,1925,339,1271,NULL,NULL,N
seguida01,1412,139,684,NULL,NULL,N
thomafr04,2468,521,1704,NULL,NULL,Y
bagweje01,2314,449,1529,NULL,NULL,Y
brosisc01,1001,141,531,NULL,NULL,N
castivi02,1884,320,1105,NULL,NULL,N
claytro01,1904,110,723,NULL,NULL,N
karroer01,1724,284,1027,NULL,NULL,N
knoblch01,1839,98,615,NULL,NULL,N
loftoke01,2428,130,781,NULL,NULL,N
rodriiv01,2844,311,1332,NULL,NULL,Y
sandere02,1666,305,983,NULL,NULL,N
vaughmo01,1620,328,1064,NULL,NULL,N
willibe02,4672,574,2514,NULL,NULL,N
boonebr01,1775,252,1021,NULL,NULL,N
jordabr01,1454,184,821,NULL,NULL,N
kentje01,9844,1508,6072,NULL,NULL,N
kleskry01,1564,278,987,NULL,NULL,N
lopezja01,1527,260,864,NULL,NULL,N
piazzmi01,2127,427,1335,NULL,NULL,Y
salmoti01,1674,299,1016,NULL,NULL,N
snowjt01,1509,189,877,NULL,NULL,N
stairma01,1366,265,899,NULL,NULL,N
younger01,1731,79,543,NULL,NULL,N
ausmubr01,1579,80,607,NULL,NULL,N
burnije01,1447,315,981,NULL,NULL,N
delgaca01,2038,473,1512,NULL,NULL,N
edmonji01,1949,393,1199,NULL,NULL,N
floydcl01,1479,233,865,NULL,NULL,N
greensh01,2003,328,1070,NULL,NULL,N
mondera01,1589,271,860,NULL,NULL,N
ramirma02,2574,555,1831,NULL,NULL,N
whitero02,1519,198,768,NULL,NULL,N
womacto01,1353,36,368,NULL,NULL,N
anderga01,2529,287,1365,NULL,NULL,N
johnsch04,940,167,570,NULL,NULL,N
aurilri01,1576,186,756,NULL,NULL,N
camermi01,1700,278,968,NULL,NULL,N
clarkto02,1188,251,824,NULL,NULL,N
durhara01,2054,192,875,NULL,NULL,N
gilesbr02,1897,287,1078,NULL,NULL,N
grudzma01,2040,90,640,NULL,NULL,N
higgibo02,1336,187,709,NULL,NULL,N
nevinph01,1131,208,743,NULL,NULL,N
posadjo01,1664,275,1065,NULL,NULL,N
sweenmi01,1540,215,909,NULL,NULL,N
castilu01,1889,28,443,NULL,NULL,N
dyeje01,1779,325,1072,NULL,NULL,N
erstada01,1697,124,699,NULL,NULL,N
garcino01,3494,458,1872,NULL,NULL,N
guerrvl01,2590,449,1496,NULL,NULL,N
kendaja01,2195,75,744,NULL,NULL,N
muellbi02,1229,85,493,NULL,NULL,N
renteed01,2327,140,923,NULL,NULL,N
walketo04,1316,107,545,NULL,NULL,N
booneaa01,1017,126,555,NULL,NULL,N
cabreor01,2055,123,854,NULL,NULL,N
caseyse01,1531,130,735,NULL,NULL,N
leede02,1959,331,1078,NULL,NULL,N
ordonma01,2156,294,1236,NULL,NULL,N
sexsori01,1286,306,943,NULL,NULL,N
varitja01,1307,193,757,NULL,NULL,N
glaustr01,1375,320,950,NULL,NULL,N
guillca01,1331,124,660,NULL,NULL,N
loducpa01,1112,80,481,NULL,NULL,N
lowelmi01,1619,223,952,NULL,NULL,N
winnra01,1759,110,662,NULL,NULL,N
blakeca01,1186,167,616,NULL,NULL,N
morame01,1503,171,754,NULL,NULL,N
burrepa01,1393,292,976,NULL,NULL,N
eckstda01,1414,35,392,NULL,NULL,N
sanchfr01,1012,48,371,NULL,NULL,N
jonesja05,23,3,11,NULL,NULL,N
francju02,235,48,152,NULL,NULL,N
bulkemo99,NULL,NULL,NULL,NULL,NULL,Y
johnsba99,NULL,NULL,NULL,NULL,NULL,Y
cartwal99,NULL,NULL,NULL,NULL,NULL,Y
chadwhe99,NULL,NULL,NULL,NULL,NULL,Y
landike99,NULL,NULL,NULL,NULL,NULL,Y
barroed99,NULL,NULL,NULL,NULL,NULL,Y
connoto99,NULL,NULL,NULL,NULL,NULL,Y
klembi99,NULL,NULL,NULL,NULL,NULL,Y
mccarjo99,NULL,NULL,NULL,NULL,NULL,Y
frickfo99,NULL,NULL,NULL,NULL,NULL,Y
weissge99,NULL,NULL,NULL,NULL,NULL,Y
gibsojo99,NULL,NULL,NULL,NULL,NULL,Y
harriwi99,NULL,NULL,NULL,NULL,NULL,Y
leonabu99,NULL,NULL,NULL,NULL,NULL,Y
evansbi99,NULL,NULL,NULL,NULL,NULL,Y
bellco99,NULL,NULL,NULL,NULL,NULL,Y
johnsju99,NULL,NULL,NULL,NULL,NULL,Y
charlos99,NULL,NULL,NULL,NULL,NULL,Y
hubbaca99,NULL,NULL,NULL,NULL,NULL,Y
dihigma99,NULL,NULL,NULL,NULL,NULL,Y
lloydpo99,NULL,NULL,NULL,NULL,NULL,Y
macphla99,NULL,NULL,NULL,NULL,NULL,Y
gileswa99,NULL,NULL,NULL,NULL,NULL,Y
yawketo99,NULL,NULL,NULL,NULL,NULL,Y
fosteru99,NULL,NULL,NULL,NULL,NULL,Y
chandha99,NULL,NULL,NULL,NULL,NULL,Y
dandrra99,NULL,NULL,NULL,NULL,NULL,Y
barlial99,NULL,NULL,NULL,NULL,NULL,Y
veeckbi99,NULL,NULL,NULL,NULL,NULL,Y
mcgowbi99,NULL,NULL,NULL,NULL,NULL,Y
dayle99,NULL,NULL,NULL,NULL,NULL,Y
hulbewi99,NULL,NULL,NULL,NULL,NULL,Y
fostebi99,NULL,NULL,NULL,NULL,NULL,Y
weaveea99,NULL,NULL,NULL,NULL,NULL,Y
wellswi99,NULL,NULL,NULL,NULL,NULL,Y
macphle99,NULL,NULL,NULL,NULL,NULL,Y
roganbu99,NULL,NULL,NULL,NULL,NULL,Y
chylane99,NULL,NULL,NULL,NULL,NULL,Y
seleefr99,NULL,NULL,NULL,NULL,NULL,Y
willijo99,NULL,NULL,NULL,NULL,NULL,Y
steartu99,NULL,NULL,NULL,NULL,NULL,Y
smithhi99,NULL,NULL,NULL,NULL,NULL,Y
brownra99,NULL,NULL,NULL,NULL,NULL,Y
coopean99,NULL,NULL,NULL,NULL,NULL,Y
grantfr99,NULL,NULL,NULL,NULL,NULL,Y
hillpe99,NULL,NULL,NULL,NULL,NULL,Y
mackebi99,NULL,NULL,NULL,NULL,NULL,Y
manleef99,NULL,NULL,NULL,NULL,NULL,Y
mendejo99,NULL,NULL,NULL,NULL,NULL,Y
pompeal99,NULL,NULL,NULL,NULL,NULL,Y
poseycu99,NULL,NULL,NULL,NULL,NULL,Y
santolo99,NULL,NULL,NULL,NULL,NULL,Y
suttlmu99,NULL,NULL,NULL,NULL,NULL,Y
taylobe99,NULL,NULL,NULL,NULL,NULL,Y
torricr99,NULL,NULL,NULL,NULL,NULL,Y
